super,improve
Couldn't be improved,Nothing
Couldn't be improved,Na Excellent
Couldn't be improved,Nothing really
Couldn't be improved,nothing keep up the good work
Couldn't be improved,Nothing When cancelling visit through Hub Hub staff do not always pass message on 
Access to Services,I think that with the NHS under such pressure it would be difficult for the service to give quicker home visits and be able to spend more time with you but it would be for the better 
Environment/Facilities,Thicker toilet tissue
Access to Services,See us on time and treat us quick and we have to wait for our meds
Service Quality/Outcomes,Encourage better physical health Implement more of a fitness regimen that doesnt get in the way of treatment
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Care/ Treatment,Attention to detail
Access to Services,Appointment a bit closer a 7 month wait for next appointment seems a long time
Couldn't be improved,nothing
Couldn't be improved,Everything was very good Excellent
Couldn't be improved,Nothing Everything has been excellent and supportive
Service Quality/Outcomes,Not having bad feet
Couldn't be improved,Nothing I was treated with care and kindness
Care/ Treatment,I would like to have medicals in my home for example if will too much stress  I love my family and friends
Couldn't be improved,nothing
Couldn't be improved,All excellent
Communication,Potential sutalive station eg like smoke free Work from Gp surgery Some written material on care that can be provided
Access to Services,More regular visits
Service Quality/Outcomes,Going home
Access to Services,For it to continue for a longer period once built up confidence and friendships within the group
Communication,Listening  the mental health team here is very good but other parts of health care could be improved
Access to Services,Longer classes 8 weeks minimum
Service Quality/Outcomes,I am feeling as if i love in a nursing home rather than a residential home which is what i would prefer
Couldn't be improved,nothing
Access to Services,Deal with issues sooner  My stress related illness could have got much worse in the time it took to be contacted
Couldn't be improved,Nothing
Staff/Staff Attitude,Continuity of psychiatrist
Access to Services,More baby sessions available
Communication,Provide all our handout in colour this is crucially important when studying mental health  who needs black  white
Privacy and Dignity,A  bit more privacy when talking to the health visitor
Staff/Staff Attitude,Overworked
Access to Services,A lot of people need this service there is a huge waiting list  I think that there are a lot of people falling through a loop hole
Care/ Treatment,Visits See family more to talk about outside world
Staff/Staff Attitude,Continuety of staff  so you dont have to repeat same info every week
Care/ Treatment,Clinics to run on time
Communication,All information has been given by Age Concern  We have tried to find information but have found this complicated
Couldn't be improved,Satisfied
Access to Services,More time more sessions
Staff/Staff Attitude,Understand that being in her is a positive to recovering a better lifestyle and not be belittled for choices Xxx nurse in question
Service Quality/Outcomes,give us a sticker
Couldn't be improved,Nothing
Staff/Staff Attitude,I would have liked the opportunity to try a different counsellor as I relate better to men often but maybe this is something I could try when I am readmitted to CBT later in the year after my bereavement counselling I liked my counsellor but I didnt feel I could open up about everything for some reason  probably my problem
Couldn't be improved,I would not change nothing as I was treated quite fast and appropriately
Access to Services,To move on faster
Couldn't be improved,I was most impressed by the service I received
Couldn't be improved,NA Have no problems with them
Couldn't be improved,no improvements required
Leave,Open the gate
Care/ Treatment,Less restrictive more friendly and not punishing patients
Communication,Written information sheets  exercise etc
Couldn't be improved,you do things well all the time
Couldn't be improved,no
Couldn't be improved,The support received could not be improved upon
Staff/Staff Attitude,Continuity of person seen very rarely see the same person on each visit
Access to Services,Speed up time to see doctor currently it takes too long
Access to Services,More appointments during the year
Involvement,Listen to what I want to do instead of being told
Communication,very hard to talk about things over the phone
Care/ Treatment,Probably more activity equipment as we all have different needs
Staff/Staff Attitude,More trust with pens 
Couldn't be improved,Nothing
Staff/Staff Attitude,Employ more staff like Janet 
Couldn't be improved,Cannot be improved
Staff/Staff Attitude,More staff to do the work
Staff/Staff Attitude,No all was fine saw a lot of different nurses but all were nice
Access to Services,That they had more resources to see young people before it got to crisis stage
Access to Services,More afternoon sessions as the majority run in the morning
Access to Services,Perhaps some support after discharge  Counselling
Access to Services,The only thing that really matters is to have shorter waiting times
Couldn't be improved,Everything is good
Staff/Staff Attitude,More staff  Staff have meetings which means they have to move regular appointments which knocks me out of routine
Couldn't be improved,Everything was fine as it was
Smoking,More smoke breaks
Couldn't be improved,Nothing
Care/ Treatment,A little help with my garden 
Environment/Facilities,Keeping mental patients separate from dementia patients  Private Rooms more of
Couldn't be improved,Nothing for me
Couldn't be improved,Nothing
Couldn't be improved,covered a lot  nothing
Couldn't be improved,Absolutely nothing
Couldn't be improved,nothing
Couldn't be improved,Nothing  meeting up to every need I have
Couldn't be improved,nothing that I can think of
Couldn't be improved,Nothing
Couldn't be improved,Nothing Very satisfactory in all aspects 
Staff/Staff Attitude,Less baby talk
Couldn't be improved,Nothing Perfection
Couldn't be improved,nothing
Couldn't be improved,Extremely likely to recommend
Access to Services,I feel the allotted 15 minute sessions with a psychiatrist are too short A 15 minute chat every 3 months is inadequate  30 min should be a minimum
Couldn't be improved,Nothing
Communication,Listen more to what I have to say and want
Care/ Treatment,Better organised 
Access to Services,preparation for going home
Environment/Facilities,It was very coldhall
Access to Services,More groups at R H leisure centre
Care/ Treatment,Sort the morning meds out as its a mess at the moment
Couldn't be improved,Nothing
Access to Services,Less waiting time to see doctor
Couldn't be improved,Nothing
Communication,Sometimes have to get through to the office on me telephone 
Couldn't be improved,nothing
Couldn't be improved,Nothing really they have all been very good to me with what Ive gone through this year 
Staff/Staff Attitude,Too many different nurses  Would be nice to have regular ones
Couldn't be improved,Nothing
Access to Services,From seeing a therapist almost every week to not at all is difficult to me Maybe from once a week to once a month would be better
Couldn't be improved,I dont know
Communication,You could bring a video about what we have learnt about
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Couldn't be improved,Not much as I thought the professional care and help for my mother was excellent
Care/ Treatment,More staggering of courses into taster or advanced to suit interested 
Care/ Treatment,Trying to keep all appointments on time and not booking too many in
Access to Services,The waiting time
Couldn't be improved,Just keep up the good work  We love coming to Stay and Play
Couldn't be improved,Nothing to improve
Couldn't be improved,Nothing
Care/ Treatment,More appointments
Food,Provide lunch for the all day session
Service Quality/Outcomes,Longer meetings with family 
Couldn't be improved,nothing its OK the way it is
Staff/Staff Attitude,Less hurried
Communication,Improved listened by psychiatrist
Couldn't be improved,Keep up the good work as you certainly helped me were not for recent extenuating circumstances would have been a 100 win
Involvement,Optional psychiatric medication
Communication,More info about services and  events eg notice board at the reception area  Also to receive emails about what is happening More play sessions in t he morning
Staff/Staff Attitude,More help within Speech Therapy as a group we were due to attend was cancelled due to lack of support
Care/ Treatment,Keep to time
Care/ Treatment,Improve the quality of the undersheets after weeks of bed time they play havoc with the nether regions
Environment/Facilities,Different environment
Couldn't be improved,Nothing
Staff/Staff Attitude,More time with service
Couldn't be improved,nothing
Communication,A better explained structure of the subject
Communication,communication when phoning up for advice  never got back to me on one occasion and had to keep calling repeatedly to get a health visitor to call me back with an issue
Access to Services,Location of building
Communication,Better communication and seem more bothered about their work
Couldn't be improved,Nothing NRC is fantastic
Communication,To make sure delivery driver knows to put package inside garage if weather is not good
Care/ Treatment,Structure more activities sessions groups on a weekend
Communication,For doctors to listen to you more and longer on visits
Couldn't be improved,None
Couldn't be improved,i cant think of anything
Couldn't be improved,Cant think of anything  really happy with the help Ive received
Care/ Treatment,Play more snooker with staff and improve break Would like to play snooker twice a week
Environment/Facilities,A bed in the room
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Access to Services,Maybe to do a few more weeks
Communication,Transparency
Couldn't be improved,Nothing Service has been quick and staff lovely
Care/ Treatment,Not keep worrying about different doctors and medication Sort a way to move forward so time factor as ell
Service Quality/Outcomes,I thought I had been left in the dark about decisions made which would have helped me deal better with the consequences of decisions made  Interfacing with other social care agencies a little sporadic
Staff/Staff Attitude,More mental health staff
Communication,More advice for my family where to get help and support
Care/ Treatment,Create more things about recovery 
Care/ Treatment,To be more empathic offer more time and space and less judgement 
Communication,Regular contact a bit more organised to do with arrangements etc because you never know where you stand to do with the hospital arrangements I would like to be notified when change of circumstances as you get told nothing these days
Couldn't be improved,nothing
Access to Services,more courses available for a larger group at a time
Couldn't be improved,Nothing  the podiatrists are fantastic
Couldn't be improved,Nothing
Access to Services,Waiting time
Couldn't be improved,Its good to hear about the new developments of this service Sounds like improvements all round
Couldn't be improved,I cant think of anything Sorry I know thats not helpful
Service Quality/Outcomes,Getting employment
Access to Services,See you sooner
Staff/Staff Attitude,More compassion
Environment/Facilities,Get a larger place with more facilities and equipment I am sure there are more people who could benefit from this programme
Couldn't be improved,I cant think of anything
Environment/Facilities,Change the toys up a bit Maybe encourage more networking between Mumscarers
Staff/Staff Attitude,Better Doctors
Service Quality/Outcomes,The Dietician couldnt help me much with my childs condition who is suffering from lots of allergies and she is possibly having a muscle disease which required a very special diet
Couldn't be improved,Nothing Amazing lovely friendly group
Access to Services,Separate clinics for babies that need to be weighed eg 6 week checks and ones with weight concerns so we dont have to wait with others who are just weighing babies because they want to
Couldn't be improved,You do not need as do anything better
Staff/Staff Attitude,Treat all patient equally nicely and not prioritise one patient over another
Staff/Staff Attitude,Spend more time 
Access to Services,More groups in afternoon
Environment/Facilities,Bigger tummy time room
Couldn't be improved,nothing
Couldn't be improved,no
Couldn't be improved,Nothing love everything about the place
Staff/Staff Attitude,More staff and not so much waiting time 
Staff/Staff Attitude,Get to know one another better at first session peg to hand others on  Found first sessions boring  better when we did things together 
Couldn't be improved,very helpful  a good start  hoping freed beeches can add to this
Couldn't be improved,I dont think there is because I cant fault it
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Couldn't be improved,Nothing it was all good
Access to Services,A shorter waiting list
Couldn't be improved,nothing
Couldn't be improved,nothing
Couldn't be improved,Nothing
Communication,after making call to on call service it would be good to receve a call back to say message has been relayed and to confirm nurse wuld be coming
Access to Services,More than 2 sessions Amount of sessions provided by NHS is a joke
Couldn't be improved,Nothing
Staff/Staff Attitude,The sitting service could be improved by trying to send the same person when possible people with dementia need things the same as possible
Access to Services,Sessions could be longer
Couldn't be improved,Nothing
Couldn't be improved,everything good
Communication,NB Regarding Q10 this does not reflect the help offered which was towards excellent It is my opinion that the answer has to reflect upon my resistance to accepting and acting on the advice offered Excellent allround service which would benefit from wider publicity and better understanding of what was available
Couldn't be improved,Dont need to improve they are there when you need them
Couldn't be improved,I think its already a high standard
Staff/Staff Attitude,One at a time when visiting so i can be with my dad when nurse visits
Couldn't be improved,nothing
Staff/Staff Attitude,Nurses talk like we stupid or talk to much about their private stuff I dont care about their family  holidays
Food,Bit more choice of vegetarian food
Couldn't be improved,Nothing
Food,The food and respect
Care/ Treatment,A regular exercise course
Couldn't be improved,Nothing
Care/ Treatment,Appointment system poor
Couldn't be improved,Couldnt better it Service is magnificent
Couldn't be improved,Nothing I could think of
Service Quality/Outcomes,Breastfeeding support In the entire NHS I have found this severly lacking They do their best but they ought to have BF counciling training
Communication,Communicate more ie psychiatrist and secretary
Care/ Treatment,spoke more about different parts
Care/ Treatment,Shorter waiting time to get a blood pressure monitor
Access to Services,not much fabulous open more
Staff/Staff Attitude,More staff  Not being locked up too much 
Couldn't be improved,Nothing really
Couldn't be improved,Nothing I can think of at present 
Staff/Staff Attitude,Friendlier reception staff
Access to Services,More routine contacts
Couldn't be improved,NOTHING
Care/ Treatment,A truly appalling experience I wish I had never contacted you You have made my situation worse not better A system that doesnt care and has no compassion How did you let it come to this Lots of organisations are poorly funded  only the NHS hides behind that A system of low quality and low expectations It should be dismantled and scrapped You have scared me
Couldn't be improved,there is nothing I would improve the whole service is brilliant
Communication,A better explanation of why I was required to attend the day care services and how I would benefit from the experience
Couldn't be improved,It was good
Couldn't be improved,No change needed
Access to Services,To see someone sooner
Food,food is ok
Communication,To explain in more detail why we need this jab as a lot of my friends and myself do not understand why we have to have it
Communication,Provide better leaflets reading The patients right and their obligations to inform DWP of their status as an inpatient 
Service Quality/Outcomes,To get fit and healthy and understand my mental illness
Couldn't be improved,Nothing
Couldn't be improved,Unlikely
Service Quality/Outcomes,When my therapist went off work the service failed to address my needs Anyall momentum from the previous sessions was lost 
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Care/ Treatment,Medication Can never speak to nurse  I cant get a choice  
Care/ Treatment,More appointments please 
Communication,tell us more about it and why we need it
Couldn't be improved,nothing really
Couldn't be improved,Cant improve it
Couldn't be improved,Nothing 
Couldn't be improved,nothing 
Access to Services,More frequent
Access to Services,Maybe be a future aim for the service would be to have some additional counselors that for a reasonable fee like that of a dental examination could be available to book at short notice and refer more serious conditions to the state system 
Leave,To be allowed an hours walk outside every day
Couldn't be improved,Nothing
Couldn't be improved,As far as I am concerned nothing
Access to Services,Mire session in Gamston 
Staff/Staff Attitude,Shame not more people
Care/ Treatment,Waiting for creams
Couldn't be improved,No we have done everything
Access to Services,We understand that the CAT support must come to an end However the support will be greatly missed If at all possible we feel that being able to contact the team in a crisis situation would benefit all of us If a situation should arise again rather than starting again from the beginning QMC
Communication,Be honest and transparent about waiting times for assessments Assess people who have been waiting longest first
Care/ Treatment,More training on tongue tie Posterior tie was missed despite many people checking
Couldn't be improved,nothing
Couldn't be improved,nothing
Environment/Facilities,Parking  Im aware it is for local people who should be in walking distrance  I am aware that this is not important but sometime I turn around and go home if I cannot Park 
Couldn't be improved,nothing
Service Quality/Outcomes,Would just like to be back to my old self instead of feeling how I feel
Food,Nothing  Provide a hot drink would be nice Cordon off the kitchen area so we can still see the children
Care/ Treatment,A little bit more understanding of poorly old people  I am now 89 years old
Communication,Making it easier to find out about the service
Staff/Staff Attitude,I had a lovely lady to begin with Helen  she was great I didnt realise she was leaving until she was gone and have not met my health visitor in person since However all of the health professionals are excellent but just lost a bit of continuity
Care/ Treatment,More thorough and in depth
Access to Services,Longer groups More baby groups aimed at different abilities
Couldn't be improved,none 
Care/ Treatment,Add some exercises
Couldn't be improved,Nothing I can think of 
Couldn't be improved,No way to improve
Access to Services,Longer sessions
Communication,Improve communication when visits are due not just turning up and hoping to find people looking after the patient have not gone to the shops
Care/ Treatment,Dont change services as often  More support for partners
Couldn't be improved,Nothing
Care/ Treatment,would like a am or pm slot  When I came out of hospital did not receive enough information regarding my catheter
Care/ Treatment,Scrap fixed appointment times
Record Keeping,nurses appear to have a lot of paperwork to complete
Communication,Maybe a  few more leaflets delivered to let us know whats on in  centre on  a regular basis
Communication,Talk
Care/ Treatment,Very disappointed at splints no longer being pattened designs as it removed the stigma for children wearing them as the designs made them fun
Access to Services,Longer periods of time for therapy than 6 weeks or 6 one hour sessions
Access to Services,Hospital appointment could improve as Ive been waiting a year to go to hospital
Environment/Facilities,a stress ball
Couldn't be improved,nothing
Communication,Communication GP practice chemist Stop asking for carers
Access to Services,I was told that I would have to pay 500600 for battery pack for wheelchair I have Not prepared to do this More money for the services so than in a position to provide whats needed I have personally supplied a bed etc to suit my needs and chair to enable me to get up 
Leave,More time out
Care/ Treatment,To be able to get out more
Access to Services,Spending more time with nurse on the visit as they usually do not have enough time
Service Quality/Outcomes,More understanding about deafness
Couldn't be improved,Nothing
Smoking,Let us smoke More activities like sports football biking and walking  Give leave to patients so they can be active Let patients be part of the leave plan if they not happy to stay
Couldn't be improved,nothing
Couldn't be improved,Nothing that comes to mind
Care/ Treatment,Suggest some solutions earlier before condition escalates
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Access to Services,I was not happy with the length of time I had to wait
Service Quality/Outcomes,Taxi service long journeys to collect others and not gaining all required time for treatment being late coming on regular basis
Safety,Someone to be present when patient goes into areas out of sight to ensure accidents are prevented
Couldn't be improved,Not a thing
Access to Services,Have more classes  Keep college going 
Access to Services,More groups a week
Communication,More appointments
Access to Services,More home visits
Couldn't be improved,Nothing really
Access to Services,Affordable  Day care was day care  not 10 to 2pm
Couldn't be improved,Excellent
Couldn't be improved,Nothing
Environment/Facilities,maybe slight re arrangment bedroom in some cases just this room 
Care/ Treatment,Look after me better not sure how 
Couldn't be improved,Everything is so nice
Privacy and Dignity,Not very private Have longer clinic times so can spend more time with Health Visitor
Care/ Treatment,To give RMN Nurses more involvement in changing your medicine and to have more power with regards to the patient and their needs
Couldn't be improved,Nothing required to improve service
Access to Services,quicker appointments
Couldn't be improved,For me nothing
Couldn't be improved,Nothng
Access to Services,Take on older children
Couldn't be improved,Nothing
Couldn't be improved,I cannot think of anything  very satsfied
Staff/Staff Attitude,The turnover of psychiatrists in the last 56 years has been very high when you only see them only every 34 months
Environment/Facilities,Baby changing thats not on the floor
Couldn't be improved,It was brilliant really affirming for me as a mum
Communication,respect those that decide breast feeling is not for them and dont keep pushing for them to keep trying bring back baby massage
Communication,Communicate better with patients Individual work could be better
Access to Services,More visits in certain circumstances  just to check everything is fine
Staff/Staff Attitude,Nothing only extra time for your staff and less work load
Involvement,Dr X needs to let me have a little more input but she is very good
Communication,declined
Couldn't be improved,Nothing
Couldn't be improved,Cant think of anything
Care/ Treatment,New checking in and out system I dont like it I feel like I am on formal observation when its my own time
Staff/Staff Attitude,More staff longer visits less paper to fill in
Access to Services,Home visit
Couldn't be improved,nothing
Care/ Treatment,I am disappointed that i wasnt offered help I am feeling really low 
Couldn't be improved,nothing really that could be fixed with ease 
Access to Services,Open courses outside of working hours
Care/ Treatment,Implement sporting activities
Environment/Facilities,Have better parking facilities
Care/ Treatment,Being able to have xrays at clinic appointments
Care/ Treatment,Appointments are often late
Couldn't be improved,Nothing I can think of improving
Communication,Have relevant forms for the childrens Centre please
Communication,Fewer surveys
Couldn't be improved,None 
Couldn't be improved,Nothing
Access to Services,The length of time that you are hospitalised The complaints procedure and the overall helpfulness                                                                                                                                                             
Couldn't be improved,I really cant think anything the centre is brilliant 
Communication,Staff listen to what people say
Couldn't be improved,Nothing
Couldn't be improved,It was all good
Access to Services,home visits at some point
Access to Services,I like the effort put into helping meI dont have to be cured but its nice to know someones trying to help me It takes too long to get an appointment need more therapists
Communication,more advertising of events
Access to Services,Have a longer course
Care/ Treatment,Longer accupuncture sessions
Care/ Treatment,More trips
Couldn't be improved,Nothing
Couldn't be improved,At present the care is relevant and very good  could not be any better
Communication,Staff to speak clearly I couldnt understand them always 
Involvement,Involved in decisions made about my care treatment medication
Communication,I would improve the person I am talking to To listen more to me and to look interested in what I was talking about
Communication,Communication at doctors surgery  Notes from nurse on screen not always picked up by doctor and acted upon  Reducing dosages script not kept up to date
Access to Services,To continue the way they are with more goverment funding 
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Communication,Better information rather than just leaflets specific to your child
Privacy and Dignity,explain confidentiality
Service Quality/Outcomes,After being told I had a personality disorder I was told to self refer to a different organisation I was given the wrong number for this organisation Once I had found the correct contact details I was then told that I could not self refer
Staff/Staff Attitude,Greater availability no support if my nurse is ill
Staff/Staff Attitude,Friday evening staff seemed defensive  Bit unhelpful sense of attitude
Couldn't be improved,nothing
Staff/Staff Attitude,Sometimes xxx is needed at other places  it would be better if she was here all the time
Couldn't be improved,Nothing
Communication,Liaise with other departments and trust in a better manner  Warning a bit stronger turn up at 9pm at night telling me they were taking me to hospital should not have happened  The agreement not to inform my next of kin and they were to take me 
Couldn't be improved,Nothing
Couldn't be improved,Cant think of anything
Couldn't be improved,No problems completly happy with services
Access to Services,Offer longer courses
Care/ Treatment,I have one pair of people Less would make it easier
Staff/Staff Attitude,It could have better if we had more time to talk
Staff/Staff Attitude,A friendly welcome  our names checked in and an assurance that we would be seen although Dr was running late would have been appreciated We arrived in good time for my husbands 1130 appointment with Dr X on 130613 A receptionist directed us to a waiting area but did not take our names We then waited for 30 mins we accept that hospital appointments unavoidably run late until a team member finally came and asked if we were all right We felt that with patients mental health problems and their carers a little more courtesy  reassurance would not go amiss
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Access to Services,Access to Mental Health services psychiatric nurse etc
Access to Services,more regular baby clinics
Couldn't be improved,Nothing
Access to Services,Since my dad got diagnosed with dementia we havent had hardly any help from any services We have only had some input once dad got admitted to queens but then he was sectioned which was such a shock to us as weve been asking for help Dads been in since beg of October and we still havent heard anything from social services We feel very isolated as a family and feel that all the dementia friends adverts we havent had anything
Staff/Staff Attitude,An hour a week isnt long enough
Couldn't be improved,nothing
Access to Services,It took too long in the NHS for my Aspergers to be diagnosed I waited 7 years to see a psychologist about my depression and anxiety this is mostly general practitioners and obviously lack of support But after I was referred to the aspergers team everything went very quickly
Couldn't be improved,nothing
Couldn't be improved,None
Environment/Facilities,A creche would be very helpful I am hoping that more courses will be added
Communication,Listening  Communitcating  could do better 
Couldn't be improved,Nothing
Staff/Staff Attitude,Staff knowledge  some need to go back to training
Food,I do not like cold fried bacon for breakfast
Couldn't be improved,nothing 
Care/ Treatment,More tablets
Couldn't be improved,No complaints what so ever
Couldn't be improved,No Everthing is excellent
Care/ Treatment,The crisis team were awful I would NEVER go to them again
Care/ Treatment,How to keep focussed on your own mind
Communication,Communication about time of ward reviews and meetings in advance
Couldn't be improved,I dont think you could do anything better
Couldn't be improved,Nothing
Couldn't be improved,DONT THINK ANYTHING ELSE COULD HAVE BEEN DONE
Communication,I understand NHS going to black  white printing  Recovery college notes need to be in colour where appropriate
Environment/Facilities,ordering bandages should be easier
Leave,Allow more roaming around other wards Allow smoking whilst visiting wards or moving about on the courtyard because it is only feedback from a small facility The service I am currently receiving is of all good because there is plenty of walking in the courtyard They spend most of their time in the office and it takes overtly hard work from yourself to get a decision from these nurses It takes hard work from yourself to get things moving
Couldn't be improved,Nothing
Access to Services,The six sessions are not enough for some people after those more should be available if therapist and patient wish to continue
Communication,I found it very difficult to talk over the phone
Privacy and Dignity,Privacy
Service Quality/Outcomes,Close it down
Couldn't be improved,Nothing
Access to Services,Wish could have carried on seeing her longer
Access to Services,The length of time between psychiatrists appointments  Due to change of consultant I had to go for 6 months instead of the usual 3
Communication,More spontaneous liaison from clinical staff after traumatic event in the direction of being a carer I am a carer visit but given this to complete about the support I have recd therefore completing as a su
Couldn't be improved,no not really
Care/ Treatment,Please support euthanasia 
Access to Services,Could be longer
Care/ Treatment,Giving professional help earlier would have helped
Care/ Treatment,Booking an appointment
Care/ Treatment,To encourage on the ward voluntary OT to keep those without sec 17 leave occupied Its frustrating and boring when there is limited things to do the groundhog day effect kicks in and its unpleasant
Couldn't be improved,Not a lot
Couldn't be improved,No need to improve
Couldn't be improved,No
Couldn't be improved,Cant think of anything
Couldn't be improved,I dont think you can do better 
Couldn't be improved,Not a lot very helpfull service
Couldn't be improved,No improvement needed
Staff/Staff Attitude,Would like it if had visits by regular nurses  Feel see too many staff
Communication,Contactability  direct line Ie not to have to leave answer phone messages to be replied to
Couldn't be improved,Nothing
Access to Services,Provide a longer service
Couldn't be improved,Nothing
Care/ Treatment,More day diversity  a lot seem to all be Thursdays 
Couldn't be improved,Nothing
Environment/Facilities,Car parking Dis
Physical Health,Could perhaps provide a facility for exercise even for dementia patients etc see new initiative of Age concern with British gymnast association Make a facility available for someone to escort a patient on section to collect their own clothes within a specified time limit 
Couldn't be improved,Nothing
Access to Services,More often twice a year
Communication,Speak to me about my personal care Ring before arriving some people ring before arriving
Care/ Treatment,Getting an outside appointment I came to the Jail in June and I am still waiting The xxx doctor Ive seen is not very good
Care/ Treatment,More interesting games
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Environment/Facilities,Put new batteries in toys that dont work
Staff/Staff Attitude,Keep the same person calling as it gets upsetting for the patient having changes all the time and the same questions every time
Access to Services,Delivery of prescriptions to help nurses
Food,I want to go back to normal food instead of soft food  i have been choking in the past I want to get out of here Ive been here 5 years and i dont like it
Couldn't be improved,Nothing
Couldn't be improved,Nothing really very quick response
Couldn't be improved,Nothing  has everything covered her knowledge is 1010 there is nothing i cant ask her that she doesnt know
Couldn't be improved,Nothing
Environment/Facilities,The staff need to tell you more but they need the equipment to be maintained ECG not been working for 2 weeks More doctors and nurses
Care/ Treatment,More supervision when reducing tour medication
Care/ Treatment,More groups in the afternoon for babies
Care/ Treatment,Not everyone fits the mould of see GP see psychiatrist once then get referred back to GP to continue care  I feel I consistently need to push to get the carehelp I need which is hard with mental health issues
Couldn't be improved,Nothing
Communication,Moredifferent types of communication eg Texting post
Access to Services,On line booking option
Care/ Treatment,To get care outside prison as healthcare in this prison is shockingly below standards
Couldn't be improved,Nothing all went well  Felt very comfortable with the dentist
Staff/Staff Attitude,he the physio vig was 
Access to Services,Maybe to encourage the NHSGP Practice to allow a follow up HBA1C test after a few months post DESMOND course to see if things are having a positive effect
Couldn't be improved,All brill
Access to Services,Do it more offten
Service Quality/Outcomes,Be more transparent creative  more properly organised
Couldn't be improved,Nothing
Couldn't be improved,Nothing at all Lovely Helped me get back to my wife
Communication,More information and things explained more
Couldn't be improved,Nothing was brilliant
Couldn't be improved,As far as I am aware you did a marvelous job with my problem
Staff/Staff Attitude,A bit more time with staff
Staff/Staff Attitude,Better training for staff to be more sensitive to the needs of patients
Care/ Treatment,The hair nets awful made your head sweat
Communication,As a carer is is sometime difficult to speak to staffdoctors
Staff/Staff Attitude,more nurses
Couldn't be improved,Nothing everything was amazing
Communication,Ensure the history of the patient is transferred between depthospitals and that the doctorconsultant has read the important history
Couldn't be improved,you can not improve on excellence 
Couldn't be improved,Nothing   very happy
Communication,Would like to find out about other treatments
Staff/Staff Attitude,more 121 time
Access to Services,To have something to do at the weekend
Staff/Staff Attitude,Substitute tutor in case of tutor illness
Food,Tea or coffee provided
Environment/Facilities,Hot drinks machine
Access to Services,Telephone always busy
Couldn't be improved,Nothing
Care/ Treatment,Maybe a stress ball
Access to Services,Provide parent clasees so partners can come along
Couldn't be improved,cant think of anything
Couldn't be improved,nothing
Involvement,I was put on medication for anxiety  depression which have side effects as the medication starts to take effect  Although everyone responds differently I would have like to have been advised of what the main  side effects can be  for how long they would last for 
Communication,Preknowledge of this service and that they would be calling in to see me
Couldn't be improved,Happy as it is 
Staff/Staff Attitude,More time as seemed rushed
Care/ Treatment,That you were given the meds that the hospital prescribed Also to get to see the doctor instead of having to wait for a minimum of ten days for appointment
Access to Services,Easier access to doctors direct
Access to Services,Make referesher meetings more regular
Privacy and Dignity,You could tallk about confidentiality
Couldn't be improved,Nothing Everything fine
Food,maybe more options for breakfast
Environment/Facilities,Poor car parking
Couldn't be improved,They is nothing you can do better because i think its a fantstic place to be and its very entertaining 
Care/ Treatment,Make the programme Freedom Programme run longer and also do a follow on programme  g confidence building
Care/ Treatment,A better CBT therapist would could help me tackle my negative thoughts and anxieties or to have my intensive therapist for longer so they could help me instead
Communication,Selling the reason for the care
Access to Services,Allow for one on one sessions with long term illnesses and problems  Dont make people feel like they should drop all safety behaviours all at once or that medications is only short term option  Feels very one tract  doesnt really focus on the why just what to do to get back to normal  Information given was very useful but bery difficult to implement into real life for long term problems but my doctor has been aware of and made this as an interim for now 
Couldn't be improved,Cant think of anything
Couldn't be improved,Cant think of anything
Communication,To be heardlistened to over decisions in my care
Access to Services,More of everything more parent involvement more attendance more groups more courses 
Staff/Staff Attitude,As i say below the carers are very good A nurse that came was very standoffish and complained about kneeling on the hard floor when she was dressing my husbands legs I had explained to her that everything for my husband was upstairs Her attitude made me feel belittled in my own home She wouldnt listen to anything i tried to explain
Couldn't be improved,Not really
Couldn't be improved,To say 100 would be fair
Couldn't be improved,nothing
Access to Services,Waiting times in waiting room  I waited two hours last time to see the doctor
Access to Services,Reduce waiting time to start receiving help
Leave,Back garden should be open more so we can mingle more
Food,The food is OK but limited
Care/ Treatment,i was 10mins late going in 
Staff/Staff Attitude,Staff and doctor
Couldn't be improved,No suggestions happy with service
Environment/Facilities,Better cushions and sitting arrangement 
Couldn't be improved,Very good as it is  No need to change 
Couldn't be improved,Nothing as you look after me well and visit weekly
Access to Services,let more people in on stay and play days
Care/ Treatment,Being in prison I think sometimes doctors dont want to prescribe certain medication as it could get sold on the wing It  it up for the people who need it
Communication,Getting in touch with them takes ages Through hub
Food,Meals need to be improved  not hot when received
Couldn't be improved,There is nothing to improve but I wish I had got his service when I first was diagnosed with the illness and the surgery I had
Communication,Services should put more consideration to patients views
Couldn't be improved,Nothing
Environment/Facilities,Bedroom painting blue
Staff/Staff Attitude,Wish I could see more of them
Access to Services,Have the session for a bit longer
